1,3,22
2,3,23
3,3,24
4,3,25
5,3,26
6,3,27
7,3,28
8,3,29
9,3,30
10,3,31
11,1,32
12,1,33
13,1,34
14,1,35
15,1,36
16,1,37
17,1,38
18,1,39
19,1,40
20,1,41
41,2,81
42,2,82
43,2,83
44,2,84
45,2,85
46,2,86
47,2,87
48,2,88
49,2,89
50,2,90
52,7,103
53,7,104
54,7,105
55,7,106
56,7,107
57,7,108
58,7,109
59,7,110
60,7,111
61,7,112
62,7,103
63,7,104
64,7,105
65,7,106
66,7,107
67,7,108
68,7,109
69,7,110
70,7,111
71,7,112
72,7,113
73,7,114
74,7,115
75,7,116
76,7,117
77,7,118
78,7,119
79,7,120
80,7,121
81,7,122
